Año,ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion,Coalición
2019,2,BAJA CALIFORNIA,4,TIJUANA,PT_TRANS_MORENA,449,392664,213,9259,402136,1431102,158288,Sí
2019,2,BAJA CALIFORNIA,4,TIJUANA,PVEM_PT,107,392664,213,9259,402136,1431102,16183,Sí
2019,2,BAJA CALIFORNIA,4,TIJUANA,PVEM_TRANS,69,392664,213,9259,402136,1431102,13418,Sí
2019,2,BAJA CALIFORNIA,4,TIJUANA,PVEM_MORENA,271,392664,213,9259,402136,1431102,150888,Sí
2019,2,BAJA CALIFORNIA,4,TIJUANA,PT_TRANS,131,392664,213,9259,402136,1431102,14754,Sí
2019,2,BAJA CALIFORNIA,4,TIJUANA,PT_MORENA,603,392664,213,9259,402136,1431102,152494,Sí
2019,2,BAJA CALIFORNIA,4,TIJUANA,TRANS_MORENA,874,392664,213,9259,402136,1431102,150038,Sí
2019,2,BAJA CALIFORNIA,4,TIJUANA,PBC,8526,392664,213,9259,402136,1431102,8526,No
2019,2,BAJA CALIFORNIA,4,TIJUANA,TRANS,5948,392664,213,9259,402136,1431102,5948,No
2019,2,BAJA CALIFORNIA,5,ROSARITO,PAN,7810,26982,15,654,27651,105482,7810,No
2019,2,BAJA CALIFORNIA,5,ROSARITO,PRI,799,26982,15,654,27651,105482,799,No
2019,2,BAJA CALIFORNIA,5,ROSARITO,PRD,670,26982,15,654,27651,105482,670,No
2019,2,BAJA CALIFORNIA,5,ROSARITO,PVEM,238,26982,15,654,27651,105482,238,No
2019,2,BAJA CALIFORNIA,5,ROSARITO,PT,318,26982,15,654,27651,105482,318,No
2019,2,BAJA CALIFORNIA,5,ROSARITO,MC,3362,26982,15,654,27651,105482,3362,No
2019,2,BAJA CALIFORNIA,5,ROSARITO,MORENA,11201,26982,15,654,27651,105482,11201,No
2019,2,BAJA CALIFORNIA,5,ROSARITO,PVEM_PT_TRANS_MORENA,49,26982,15,654,27651,105482,12222,Sí
2019,2,BAJA CALIFORNIA,5,ROSARITO,PVEM_PT_TRANS,12,26982,15,654,27651,105482,984,Sí
2019,2,BAJA CALIFORNIA,5,ROSARITO,PVEM_PT_MORENA,18,26982,15,654,27651,105482,11775,Sí
2019,2,BAJA CALIFORNIA,5,ROSARITO,PVEM_TRANS_MORENA,15,26982,15,654,27651,105482,11870,Sí
2019,2,BAJA CALIFORNIA,5,ROSARITO,PT_TRANS_MORENA,57,26982,15,654,27651,105482,11992,Sí
2019,2,BAJA CALIFORNIA,5,ROSARITO,PVEM_PT,3,26982,15,654,27651,105482,559,Sí
2019,2,BAJA CALIFORNIA,5,ROSARITO,PVEM_TRANS,2,26982,15,654,27651,105482,656,Sí
