ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,TXVER,PODEMOS,PC,UC,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,11,ALTOTONGA,29,82,3831,4322,1575,2648,931,734,3749,1082,966,2872,870,1139,1796,252,,,,,,,,,,,,,,,,,,,,,,,26767,5,992,27764,43876,
30,VERACRUZ,12,ALVARADO,40,79,4251,914,926,2260,1688,3665,2272,567,1740,543,321,1047,2938,1156,200,40,23,4,130,48,68,25,,437,,,,,,,,,,,,,25263,11,836,26110,42944,
30,VERACRUZ,13,AMATITLAN,7,13,31,1,,6,551,1361,834,48,,,1221,,7,,,,,,,,,220,,,,,,,,,,,,,,,4280,0,87,4367,6142,
30,VERACRUZ,14,AMATLAN DE LOS REYES,26,57,3488,2354,,132,170,1484,6286,185,1178,82,444,,,3528,,,,,14,3,8,19,,,,,,,,,,,,,,,19375,6,410,19791,31903,
30,VERACRUZ,16,ANGEL R. CABADA,24,45,596,739,2933,2870,67,2579,6237,,56,,,150,233,68,129,11,27,45,,,,,,,,,,,,,,,,,,,16740,3,457,17200,25711,
30,VERACRUZ,18,APAZAPAN,5,6,7,5,9,8,197,429,111,47,1007,665,0,,418,38,2,0,0,0,11,0,0,9,,,,,,,,,,,,,,,2963,2,57,3022,3597,
30,VERACRUZ,19,AQUILA,1,4,5,16,0,13,9,0,14,1,2,1,,620,674,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,1356,0,72,1428,1661,
30,VERACRUZ,20,ASTACINGA,3,9,972,636,111,253,117,152,609,6,,,2,,714,3,,,,,16,3,8,4,,,,,,,,,,,,,,,3606,,88,3694,4911,
30,VERACRUZ,21,ATLAHUILCO,5,13,1567,1757,298,37,77,22,598,,49,,2,44,,1384,,,,,3,3,3,6,,,,,,,,,,,,,,,5850,,195,6045,7517,
30,VERACRUZ,22,ATOYAC,16,35,1823,121,106,353,72,1361,1204,713,2361,18,646,466,321,470,,,,,19,6,11,2,,,,,,,,,,,,,,,10073,742,305,11120,17174,
30,VERACRUZ,23,ATZACAN,11,27,1754,60,2406,75,60,2378,437,116,758,1378,255,1328,32,303,,,,,14,0,4,6,,,,,,,,,,,,,,,11364,2,390,11756,14918,
30,VERACRUZ,24,ATZALAN,34,80,448,9323,107,1825,,1475,6392,438,128,33,63,538,452,759,,,,,,,,,,,,,,,,,,,,,,,21981,5,665,22651,35874,
30,VERACRUZ,26,AYAHUALULCO,8,28,567,4824,20,50,61,417,1093,85,40,,3046,,194,46,,,,,3,3,1,3,,,,,,,,,,,,,,,10453,0,425,10878,16152,
30,VERACRUZ,27,BANDERILLA,9,33,522,532,3006,602,97,3555,1189,66,977,38,245,111,136,156,224,11,30,20,62,5,18,6,,,,,,,,,,,,,,,11608,1,240,11849,19291,
30,VERACRUZ,28,BENITO JUAREZ,10,21,2433,2571,28,1481,153,43,1498,,103,259,,,132,36,,,,,,,,,,,,,,,,,,,,,,,8737,1,279,9017,11630,
30,VERACRUZ,29,BOCA DEL RIO,96,213,38481,2221,304,644,355,3519,18769,195,358,71,224,481,414,437,,,,,,,,,,,,,,,,,,,,,,,66473,27,1455,67955,124715,
30,VERACRUZ,30,CALCAHUALCO,5,17,231,2042,79,258,26,99,973,61,,10,2427,,82,28,85,23,1,5,,,,,,,,,,,,,,,,,,,6430,,208,6638,9014,
30,VERACRUZ,7,CAMARON DE TEJEDA,3,9,232,11,1803,63,18,32,1715,50,33,,,21,42,,,,,,9,4,7,4,,,,,,,,,,,,,,,4044,0,126,4170,5023,
